current_reputation,cost,response_time(SLA),rt_st1(measured),rt_st2(measured),rt_st3(measured),rt_st4(measured),rt_st5(measured),rt_st6(measured),rt_st7(measured),rt_st8(measured),rt_st9(measured),rt_st10(measured),rt_st11(measured),rt_st12(measured),rt_st13(measured),rt_st14(measured),rt_st15(measured)
1_to_5,hourly,seconds, Randomly generated by ResponseTimeDemo,,,,,,,,,,,,,,
5,0.16,84.61187857,75.02527064,83.97538504,84.11891342,84.90091719,81.54138646,86.08807477,84.75824333,79.84905318,75.37835419,89.67088362,75.37835419,82.27875925,84.36961987,73.65765148,84.85836452
2,0.01,247.8687696,238.6219994,239.8218979,248.5887126,249.1157873,246.4668633,247.4923181,249.2167717,239.757231,237.0850854,244.650732,237.0850854,246.707752,250.7457475,257.3005012,249.2123419
3,0.04,296.1017329,285.213416,285.9261285,297.0143353,297.7318924,297.4463425,297.6735274,295.2251426,295.1058807,287.4087425,291.1920974,287.4087425,298.6751465,297.5145819,305.8336211,297.9349681
1,0.01,208.7679106,200.6576418,213.0577046,208.3144388,207.9099123,210.1651676,210.5074679,210.058801,203.3064922,218.3911552,209.2849618,218.3911552,211.1790521,207.6746252,216.8760563,208.4541561
3,0.04,63.78562559,54.70529,62.13964826,63.55974804,64.34030449,60.86444504,64.94250196,64.44698808,56.32681277,73.77792114,58.8962987,73.77792114,66.1832283,66.18325853,73.84712065,64.14775402
2,0.01,84.61187857,76.45887662,82.20779757,85.26596406,85.71552009,82.31425817,83.98633632,85.65873683,84.74573818,95.16841866,90.2509152,95.16841866,87.29794958,86.14094763,94.61081944,85.8308316
4,0.11,159.6216327,150.2102223,157.5050193,159.439153,159.8836798,163.3103638,161.3246936,159.3047893,152.3142869,150.0641974,154.1287871,150.0641974,159.4763048,160.8614042,169.309309,160.569553
3,0.02,271.7154317,261.0504266,270.6879,271.9059599,273.7714525,269.7130924,273.3343965,272.6812668,271.0514162,280.0631085,279.2833503,280.0631085,274.0308226,273.0129191,263.4337775,273.5774389
3,0.02,265.0993818,255.7245277,257.8224849,266.5640683,265.7019574,263.8029685,265.0849519,265.9380111,264.1705364,254.2698045,264.9284315,254.2698045,266.9816521,266.5419341,256.6665811,267.0365409
4,0.02,272.5433095,261.9322239,268.8450145,272.4380565,275.208268,269.4979444,273.6805676,273.0297335,278.6975849,283.2280494,271.2683319,283.2280494,273.7382331,273.6061244,261.5584708,273.836258
5,0.03,272.5433095,261.7871718,267.8321458,271.9517808,273.4497416,274.4716275,271.9579355,273.8735753,271.8884721,281.1715867,272.9481091,281.1715867,273.2344701,269.1135322,282.9829718,273.0316044
5,0.03,22.22463658,31.55922354,17.70800026,21.3865274,22.21144441,23.60638045,21.33291552,21.42378828,28.73146631,30.68204218,20.61537393,30.68204218,22.0547224,24.42385045,11.43730326,21.33570179
1,0.03,271.7154317,281.4185467,270.7233052,272.3354209,272.2152929,270.6071415,272.9039377,272.97531,275.669007,263.5105338,262.9212054,263.5105338,269.7287849,273.4489948,261.0145511,272.9840066
4,0.04,63.78562559,73.08312726,59.17820178,63.78016495,67.20105942,65.92608406,65.45231582,65.76674016,56.7691197,54.01443725,52.90365816,54.01443725,65.69021219,64.9948833,73.64846445,63.30233527
3,0.04,265.0993818,274.778459,269.1355028,266.3864012,265.3635145,263.3407211,265.1766902,264.3712734,257.323582,275.1596805,264.6781819,275.1596805,266.236753,267.8676835,275.5548128,265.7146669
