service 1,service 2,service 3,service 4,service 5,service 6,service 7,service 8,service 9,service 10
3,3,3,3,3,3,3,3,3,3
2,4,4,4,4,4,4,4,4,4
1,4,4,4,3,4,4,5,4,4
2,3,3,3,2,4,4,4,3,4
3,4,4,4,3,5,4,4,4,5
4,4,4,4,4,5,4,4,4,5
4,4,4,3,4,5,5,3,4,5
4,4,5,4,4,5,5,2,4,4
4,4,5,4,3,5,5,1,5,3
3,4,5,4,4,5,5,2,5,4
4,5,5,5,5,5,5,3,5,4
3,4,4,4,4,4,4,2,4,3
4,3,3,3,3,4,4,1,3,4
4,2,2,2,2,4,4,0,2,3
4,3,3,3,3,4,4,0,3,4
5,4,4,4,4,4,4,0,4,4
5,4,4,4,4,5,5,0,4,4
5,4,4,4,4,5,4,0,4,4
5,3,3,3,3,5,4,0,3,5
5,2,2,2,2,5,4,0,2,5
4,1,1,1,1,4,4,0,1,5
3,1,1,1,1,3,4,0,0,5
